Date,Open,Close,0,1,2,3,4,5,6,7,8,9
2019-01-02,1016.570007,1045.849976,,,,,,,,,,
2019-01-03,1041.0,1016.0599980000001,29.279968999999937,,,,,,,,,
2019-01-04,1032.589966,1070.709961,-24.940001999999936,29.279968999999937,,,,,,,,
2019-01-07,1071.5,1068.390015,38.11999500000002,-24.940001999999936,29.279968999999937,,,,,,,
2019-01-08,1076.109985,1076.280029,-3.1099850000000515,38.11999500000002,-24.940001999999936,29.279968999999937,,,,,,
2019-01-09,1081.650024,1074.660034,0.17004399999996167,-3.1099850000000515,38.11999500000002,-24.940001999999936,29.279968999999937,,,,,
2019-01-10,1067.660034,1070.329956,-6.989990000000034,0.17004399999996167,-3.1099850000000515,38.11999500000002,-24.940001999999936,29.279968999999937,,,,
2019-01-11,1063.180054,1057.189941,2.6699220000000423,-6.989990000000034,0.17004399999996167,-3.1099850000000515,38.11999500000002,-24.940001999999936,29.279968999999937,,,
2019-01-14,1046.920044,1044.689941,-5.9901129999998375,2.6699220000000423,-6.989990000000034,0.17004399999996167,-3.1099850000000515,38.11999500000002,-24.940001999999936,29.279968999999937,,
2019-01-15,1050.170044,1077.150024,-2.230102999999872,-5.9901129999998375,2.6699220000000423,-6.989990000000034,0.17004399999996167,-3.1099850000000515,38.11999500000002,-24.940001999999936,29.279968999999937,
2019-01-16,1080.0,1080.969971,26.97998000000007,-2.230102999999872,-5.9901129999998375,2.6699220000000423,-6.989990000000034,0.17004399999996167,-3.1099850000000515,38.11999500000002,-24.940001999999936,29.279968999999937
2019-01-17,1079.469971,1089.900024,0.9699709999999868,26.97998000000007,-2.230102999999872,-5.9901129999998375,2.6699220000000423,-6.989990000000034,0.17004399999996167,-3.1099850000000515,38.11999500000002,-24.940001999999936
2019-01-18,1100.0,1098.26001,10.430053000000044,0.9699709999999868,26.97998000000007,-2.230102999999872,-5.9901129999998375,2.6699220000000423,-6.989990000000034,0.17004399999996167,-3.1099850000000515,38.11999500000002
2019-01-22,1088.0,1070.52002,,-1.7399900000000343,10.430053000000044,0.9699709999999868,26.97998000000007,-2.230102999999872,-5.9901129999998375,2.6699220000000423,-6.989990000000034,0.17004399999996167
2019-01-23,1077.349976,1075.569946,-17.47998000000007,,-1.7399900000000343,10.430053000000044,0.9699709999999868,26.97998000000007,-2.230102999999872,-5.9901129999998375,2.6699220000000423,-6.989990000000034
2019-01-24,1076.47998,1073.900024,-1.780029999999897,-17.47998000000007,,-1.7399900000000343,10.430053000000044,0.9699709999999868,26.97998000000007,-2.230102999999872,-5.9901129999998375,2.6699220000000423
2019-01-25,1085.0,1090.98999,-2.5799560000000383,-1.780029999999897,-17.47998000000007,,-1.7399900000000343,10.430053000000044,0.9699709999999868,26.97998000000007,-2.230102999999872,-5.9901129999998375
2019-01-28,1080.109985,1070.079956,5.989990000000034,-2.5799560000000383,-1.780029999999897,-17.47998000000007,,-1.7399900000000343,10.430053000000044,0.9699709999999868,26.97998000000007,-2.230102999999872
2019-01-29,1072.680054,1060.619995,-10.030029000000013,5.989990000000034,-2.5799560000000383,-1.780029999999897,-17.47998000000007,,-1.7399900000000343,10.430053000000044,0.9699709999999868,26.97998000000007
2019-01-30,1068.430054,1089.060059,-12.06005899999991,-10.030029000000013,5.989990000000034,-2.5799560000000383,-1.780029999999897,-17.47998000000007,,-1.7399900000000343,10.430053000000044,0.9699709999999868
2019-01-31,1103.0,1116.369995,20.630004999999983,-12.06005899999991,-10.030029000000013,5.989990000000034,-2.5799560000000383,-1.780029999999897,-17.47998000000007,,-1.7399900000000343,10.430053000000044
2019-02-01,1112.400024,1110.75,13.369995000000017,20.630004999999983,-12.06005899999991,-10.030029000000013,5.989990000000034,-2.5799560000000383,-1.780029999999897,-17.47998000000007,,-1.7399900000000343
2019-02-04,1112.660034,1132.800049,-1.6500240000000304,13.369995000000017,20.630004999999983,-12.06005899999991,-10.030029000000013,5.989990000000034,-2.5799560000000383,-1.780029999999897,-17.47998000000007,
2019-02-05,1124.839966,1145.98999,20.14001499999995,-1.6500240000000304,13.369995000000017,20.630004999999983,-12.06005899999991,-10.030029000000013,5.989990000000034,-2.5799560000000383,-1.780029999999897,-17.47998000000007
2019-02-06,1139.569946,1115.22998,21.15002400000003,20.14001499999995,-1.6500240000000304,13.369995000000017,20.630004999999983,-12.06005899999991,-10.030029000000013,5.989990000000034,-2.5799560000000383,-1.780029999999897
2019-02-07,1104.160034,1098.709961,-24.339966000000004,21.15002400000003,20.14001499999995,-1.6500240000000304,13.369995000000017,20.630004999999983,-12.06005899999991,-10.030029000000013,5.989990000000034,-2.5799560000000383
2019-02-08,1087.0,1095.060059,-5.450072999999975,-24.339966000000004,21.15002400000003,20.14001499999995,-1.6500240000000304,13.369995000000017,20.630004999999983,-12.06005899999991,-10.030029000000013,5.989990000000034
2019-02-11,1096.949951,1095.01001,8.06005899999991,-5.450072999999975,-24.339966000000004,21.15002400000003,20.14001499999995,-1.6500240000000304,13.369995000000017,20.630004999999983,-12.06005899999991,-10.030029000000013
2019-02-12,1106.800049,1121.369995,-1.9399410000000898,8.06005899999991,-5.450072999999975,-24.339966000000004,21.15002400000003,20.14001499999995,-1.6500240000000304,13.369995000000017,20.630004999999983,-12.06005899999991
2019-02-13,1124.98999,1120.160034,14.569946000000073,-1.9399410000000898,8.06005899999991,-5.450072999999975,-24.339966000000004,21.15002400000003,20.14001499999995,-1.6500240000000304,13.369995000000017,20.630004999999983
